Date,Open,High,Low,Close,Adj Close,Volume
2022-03-03,31.549999,31.700001,31.000000,31.100000,28.769606,1364215
2022-03-04,30.200001,31.000000,30.150000,30.700001,28.399578,2074110
2022-03-07,30.299999,30.400000,29.700001,29.950001,27.705780,2703521
2022-03-08,30.000000,31.000000,30.000000,30.700001,28.399578,1741319
2022-03-09,31.250000,32.250000,30.900000,32.000000,29.602167,4099448
2022-03-10,32.599998,33.000000,32.400002,32.599998,30.157206,2328661
2022-03-11,32.750000,33.000000,32.549999,32.750000,30.295967,1870063
2022-03-14,33.000000,33.200001,32.400002,32.599998,30.157206,2120790
2022-03-15,32.750000,33.000000,32.400002,32.799999,30.342220,1788635
2022-03-16,33.200001,33.549999,32.900002,33.150002,30.665995,5233389
2022-03-17,34.000000,35.250000,33.799999,34.549999,31.961090,7026479
2022-03-21,35.250000,36.000000,35.049999,35.799999,33.117428,5821642
2022-03-22,36.150002,36.250000,35.599998,35.799999,33.117428,4360589
2022-03-23,35.950001,36.700001,35.599998,36.150002,33.441196,7772116
2022-03-24,35.049999,35.049999,34.650002,34.900002,33.760426,3157087
2022-03-25,34.900002,35.000000,33.950001,34.099998,32.986542,3343917
2022-03-28,33.950001,33.950001,33.099998,33.150002,32.067566,2763487
2022-03-29,33.250000,33.750000,33.150002,33.250000,32.164303,2584059
2022-03-30,33.900002,34.150002,32.500000,32.599998,31.535522,4257709
2022-03-31,32.700001,33.650002,32.599998,32.700001,31.632259,4069922
2022-04-01,32.799999,33.549999,32.750000,33.400002,32.309406,1810660
2022-04-04,33.700001,34.049999,33.400002,33.799999,32.696339,4103730
2022-04-05,34.150002,35.049999,33.849998,34.549999,33.421848,4099889
2022-04-06,34.500000,35.049999,34.150002,34.250000,33.131645,3726088
2022-04-07,34.650002,34.700001,34.000000,34.099998,32.986542,2514855
2022-04-08,34.299999,35.599998,34.250000,34.599998,33.470219,4160873
2022-04-11,34.900002,35.299999,34.599998,34.700001,33.566952,3017130
2022-04-12,34.650002,34.799999,34.099998,34.700001,33.566952,2740833
2022-04-13,34.799999,35.549999,34.700001,34.849998,33.712051,3903706
2022-04-18,34.849998,34.900002,34.099998,34.349998,33.228378,1791913
2022-04-19,35.599998,36.400002,34.200001,34.650002,33.518585,16715371
2022-04-20,34.950001,35.750000,34.500000,35.400002,34.244099,4619143
2022-04-21,36.000000,37.400002,35.549999,35.950001,34.776138,16853131
2022-04-22,35.849998,36.750000,35.549999,35.799999,34.631039,6978519
2022-04-25,35.299999,35.450001,34.599998,34.799999,33.663685,3915100
2022-04-26,35.200001,35.299999,34.650002,34.750000,33.615322,1844335
2022-04-27,34.500000,34.750000,33.799999,34.099998,32.986542,3408714
2022-04-28,34.450001,34.500000,33.750000,33.950001,32.841438,2194269
2022-04-29,34.349998,34.349998,33.500000,33.650002,32.551239,2170621
2022-05-02,33.400002,33.900002,33.150002,33.549999,32.454506,1178524
2022-05-04,33.549999,33.849998,32.799999,33.000000,31.922462,1778735
2022-05-05,33.450001,33.450001,32.799999,32.849998,31.777359,1257240
2022-05-06,32.200001,32.599998,32.099998,32.400002,31.342054,1556714
2022-05-09,32.400002,32.500000,31.750000,32.150002,31.100220,1495276
2022-05-10,32.200001,32.750000,31.900000,32.099998,31.051849,1347627
2022-05-11,32.250000,32.450001,30.500000,31.150000,30.132870,2288393
2022-05-12,31.000000,31.350000,30.200001,30.450001,29.455729,1747986
2022-05-13,30.850000,31.350000,30.750000,31.000000,29.987768,1511968
2022-05-16,31.549999,31.950001,31.049999,31.250000,30.229607,1104592
2022-05-17,31.299999,32.299999,31.299999,32.150002,31.100220,995922
2022-05-18,32.599998,32.700001,32.000000,32.150002,31.100220,990999
2022-05-19,31.600000,32.000000,31.000000,31.400000,30.374708,941342
2022-05-20,31.900000,32.099998,31.600000,31.850000,30.810015,777161
2022-05-23,32.200001,32.400002,31.450001,31.600000,30.568174,1194793
2022-05-24,31.600000,31.799999,31.250000,31.400000,30.374708,762885
2022-05-25,31.500000,31.600000,30.799999,30.900000,29.891033,995183
2022-05-26,31.049999,31.350000,30.500000,31.100000,30.084503,1062196
2022-05-27,31.150000,31.600000,31.100000,31.549999,30.519808,795360
2022-05-30,32.000000,32.500000,31.950001,32.349998,31.293684,1191312
2022-05-31,33.000000,33.000000,32.099998,32.400002,31.342054,2049103
2022-06-01,33.450001,34.000000,33.150002,33.400002,32.309406,5485713
2022-06-02,33.349998,33.700001,33.099998,33.250000,32.164303,1612656
2022-06-03,33.500000,33.549999,32.500000,32.599998,31.535522,1305279
2022-06-06,32.500000,32.700001,32.000000,32.299999,31.245317,864498
2022-06-07,32.349998,32.750000,32.099998,32.250000,31.196951,744480
2022-06-08,32.250000,32.349998,31.850000,31.900000,30.858379,1061046
2022-06-09,32.299999,32.299999,31.600000,31.750000,30.713278,1557589
2022-06-10,31.500000,32.200001,31.450001,32.000000,30.955116,876353
2022-06-13,31.500000,31.500000,30.299999,30.549999,29.552460,2299088
2022-06-14,30.600000,31.049999,30.600000,30.850000,29.842665,869010
2022-06-15,31.049999,31.100000,30.549999,30.650000,29.649197,945011
